origin_date,sku_id,lead_time_days,current_stock,predicted_lead_demand,baseline_flag,candidate_flag,event_next_lead,forward_warning_event,warning_lead_days,risk_state
2026-04-30,SKU-1000,7,1179.0,761.8837041050148,False,False,False,False,,Healthy
2026-04-30,SKU-1001,5,3918.0,2037.6131126287778,False,False,False,False,,Overstock
2026-04-30,SKU-1002,3,0.0,720.0626832343513,True,True,False,False,,Critical
2026-04-30,SKU-1003,7,1828.0,1372.3323246873001,False,False,False,False,,Healthy
2026-04-30,SKU-1004,7,2100.0,1188.0310517460669,False,False,False,False,,Overstock
2026-04-30,SKU-1005,10,1578.0,1059.912851524638,False,False,False,False,,Healthy
2026-04-30,SKU-1006,10,8603.0,4651.498675318182,False,False,False,False,,Overstock
2026-04-30,SKU-1007,14,6148.0,6234.128485084454,True,True,False,False,,Watch
2026-04-30,SKU-1008,5,370.0,428.7371978168205,True,True,False,False,,Watch
2026-04-30,SKU-1009,14,6748.0,5201.182011834151,False,False,False,False,,Healthy
2026-04-30,SKU-1010,3,205.0,509.14435246293016,True,True,True,True,1.0,Watch
2026-04-30,SKU-1011,14,2084.0,2674.2764122837248,True,True,False,False,,Watch
2026-04-30,SKU-1012,14,7182.0,6355.433785376784,False,False,False,False,,Healthy
2026-04-30,SKU-1013,10,1047.0,4493.110628369507,True,True,False,False,,Watch
2026-04-30,SKU-1014,7,1446.0,1966.1239199589018,True,True,False,False,,Watch
2026-04-30,SKU-1015,7,3537.0,2594.299464650035,False,False,False,False,,Healthy
2026-04-30,SKU-1016,14,5787.0,3396.237312641469,False,False,False,False,,Overstock
2026-04-30,SKU-1017,3,113.0,861.8857877897517,True,True,True,True,1.0,Critical
2026-04-30,SKU-1018,14,4067.0,4246.944409882596,True,True,False,False,,Watch
2026-04-30,SKU-1019,14,10703.0,7882.785978300938,False,False,False,False,,Healthy
2026-04-30,SKU-1020,14,5979.0,5828.362526579165,False,False,False,False,,Healthy
2026-04-30,SKU-1021,10,5932.0,4010.2827228559863,False,False,False,False,,Healthy
2026-04-30,SKU-1022,3,563.0,531.1407450707852,False,False,False,False,,Healthy
2026-04-30,SKU-1023,7,2446.0,1578.1001614058212,False,False,False,False,,Healthy
2026-04-30,SKU-1024,7,0.0,1752.6288583900441,True,True,True,False,1.0,Critical
2026-05-01,SKU-1000,7,1078.0,750.4075154275469,False,False,False,False,,Healthy
2026-05-01,SKU-1001,5,3525.0,2046.086273384368,False,False,False,False,,Healthy
2026-05-01,SKU-1002,3,624.0,715.9118399132786,True,True,False,False,,Critical
2026-05-01,SKU-1003,7,1655.0,1343.8699058200184,False,False,False,False,,Healthy
2026-05-01,SKU-1004,7,1930.0,1173.8232375664998,False,False,False,False,,Healthy
2026-05-01,SKU-1005,10,1505.0,1078.0803814917956,False,False,False,False,,Healthy
2026-05-01,SKU-1006,10,8127.0,4743.734319436144,False,False,False,False,,Overstock
2026-05-01,SKU-1007,14,5663.0,6152.157741720325,True,True,False,False,,Watch
2026-05-01,SKU-1008,5,254.0,440.53183892205334,True,True,False,False,,Critical
2026-05-01,SKU-1009,14,6537.0,5277.1297686025255,False,False,False,False,,Healthy
2026-05-01,SKU-1010,3,0.0,508.85528094079234,True,True,True,False,1.0,Critical
2026-05-01,SKU-1011,14,1895.0,2661.731192482015,True,True,False,False,,Watch
2026-05-01,SKU-1012,14,6842.0,5955.248418297539,False,False,False,False,,Healthy
2026-05-01,SKU-1013,10,5835.0,4460.800240202458,False,False,False,False,,Healthy
2026-05-01,SKU-1014,7,3471.0,1996.9981833167888,False,False,False,False,,Healthy
2026-05-01,SKU-1015,7,3228.0,2528.8774901894326,False,False,False,False,,Healthy
2026-05-01,SKU-1016,14,5529.0,3441.690736768141,False,False,False,False,,Healthy
2026-05-01,SKU-1017,3,0.0,859.0893092671943,True,True,True,False,1.0,Critical
2026-05-01,SKU-1018,14,3877.0,3925.715124746726,True,True,False,False,,Watch
2026-05-01,SKU-1019,14,10331.0,7952.227354518191,False,False,False,False,,Healthy
2026-05-01,SKU-1020,14,5694.0,5625.338585553655,False,False,False,False,,Healthy
2026-05-01,SKU-1021,10,5386.0,4102.200914073522,False,False,False,False,,Healthy
2026-05-01,SKU-1022,3,395.0,509.96964769308704,True,True,False,False,,Watch
2026-05-01,SKU-1023,7,2023.0,1599.196083124792,False,False,False,False,,Healthy
2026-05-01,SKU-1024,7,0.0,1738.7723773250575,True,True,False,False,,Critical
2026-05-02,SKU-1000,7,969.0,789.5278574543274,False,False,False,False,,Healthy
2026-05-02,SKU-1001,5,3406.0,2370.8879271826468,False,False,False,False,,Healthy
2026-05-02,SKU-1002,3,393.0,713.027116385078,True,True,False,False,,Critical
2026-05-02,SKU-1003,7,3304.0,1395.224649739199,False,False,False,False,,Overstock
2026-05-02,SKU-1004,7,1874.0,1272.0881071922904,False,False,False,False,,Healthy
2026-05-02,SKU-1005,10,1272.0,1135.230285596791,False,False,False,False,,Healthy
2026-05-02,SKU-1006,10,7696.0,4811.476958099756,False,False,False,False,,Healthy
2026-05-02,SKU-1007,14,5235.0,6247.923815436029,True,True,False,False,,Watch
2026-05-02,SKU-1008,5,701.0,455.4229804792922,False,False,False,False,,Healthy
2026-05-02,SKU-1009,14,6261.0,5279.433052718063,False,False,False,False,,Healthy
2026-05-02,SKU-1010,3,0.0,570.4724040392244,True,True,True,False,1.0,Critical
2026-05-02,SKU-1011,14,5487.0,2694.188704102182,False,False,False,False,,Overstock
2026-05-02,SKU-1012,14,6426.0,5922.145229096355,False,False,False,False,,Healthy
2026-05-02,SKU-1013,10,5399.0,4533.456479795256,False,False,False,False,,Healthy
2026-05-02,SKU-1014,7,3231.0,1976.3203675055724,False,False,False,False,,Healthy
2026-05-02,SKU-1015,7,2953.0,2535.7478349958496,False,False,False,False,,Healthy
2026-05-02,SKU-1016,14,5375.0,3329.6462675941298,False,False,False,False,,Healthy
2026-05-02,SKU-1017,3,0.0,880.6965883020838,True,True,True,False,1.0,Critical
2026-05-02,SKU-1018,14,3624.0,4231.044828781723,True,True,False,False,,Watch
2026-05-02,SKU-1019,14,9986.0,7965.962572334475,False,False,False,False,,Healthy
2026-05-02,SKU-1020,14,5176.0,5820.962784953969,True,True,False,False,,Watch
2026-05-02,SKU-1021,10,4961.0,4143.158008230186,False,False,False,False,,Healthy
2026-05-02,SKU-1022,3,247.0,545.9325048107462,True,True,False,False,,Watch
2026-05-02,SKU-1023,7,1866.0,1566.0071326382324,False,False,False,False,,Healthy
2026-05-02,SKU-1024,7,1662.0,1822.4570408665118,True,True,False,False,,Watch
2026-05-03,SKU-1000,7,889.0,832.5322841070296,False,False,False,False,,Healthy
2026-05-03,SKU-1001,5,2991.0,2390.3174274918515,False,False,False,False,,Healthy
2026-05-03,SKU-1002,3,163.0,746.8807819746585,True,True,False,False,,Critical
2026-05-03,SKU-1003,7,3149.0,1391.82554487357,False,False,False,False,,Overstock
2026-05-03,SKU-1004,7,1748.0,1240.5882572378034,False,False,False,False,,Healthy
2026-05-03,SKU-1005,10,1181.0,1141.769195166959,False,False,False,False,,Healthy
2026-05-03,SKU-1006,10,7288.0,4978.700014095837,False,False,False,False,,Healthy
2026-05-03,SKU-1007,14,4822.0,6491.277888156482,True,True,False,False,,Watch
2026-05-03,SKU-1008,5,672.0,451.6001656891637,False,False,False,False,,Healthy
2026-05-03,SKU-1009,14,5985.0,5352.923247395737,False,False,False,False,,Healthy
2026-05-03,SKU-1010,3,0.0,602.1254864283891,True,True,True,False,1.0,Critical
2026-05-03,SKU-1011,14,5366.0,2683.054874319918,False,False,False,False,,Overstock
2026-05-03,SKU-1012,14,5724.0,6169.233138683153,True,True,False,False,,Watch
2026-05-03,SKU-1013,10,4999.0,4595.706542158419,False,False,False,False,,Healthy
2026-05-03,SKU-1014,7,3018.0,1987.7801066587901,False,False,False,False,,Healthy
2026-05-03,SKU-1015,7,2665.0,2546.7951309106506,False,False,False,False,,Healthy
2026-05-03,SKU-1016,14,5132.0,3461.2786356475162,False,False,False,False,,Healthy
2026-05-03,SKU-1017,3,0.0,961.7233776040277,True,True,True,False,1.0,Critical
2026-05-03,SKU-1018,14,3356.0,4090.603200392206,True,True,False,False,,Watch
2026-05-03,SKU-1019,14,9436.0,8112.146401980883,False,False,False,False,,Healthy
2026-05-03,SKU-1020,14,4853.0,5751.725152249762,True,True,False,False,,Watch
2026-05-03,SKU-1021,10,4615.0,4234.835317434781,False,False,False,False,,Healthy
2026-05-03,SKU-1022,3,86.0,560.7072612249513,True,True,False,False,,Watch
2026-05-03,SKU-1023,7,1652.0,1609.5926601154495,False,False,False,False,,Healthy
2026-05-03,SKU-1024,7,1491.0,1690.0677765482237,True,True,False,False,,Watch
2026-05-04,SKU-1000,7,740.0,822.118703346595,True,True,False,False,,Watch
2026-05-04,SKU-1001,5,2555.0,2352.949545956101,False,False,False,False,,Healthy
2026-05-04,SKU-1002,3,570.0,745.1712733848857,True,True,False,False,,Critical
2026-05-04,SKU-1003,7,2916.0,1407.2251498042624,False,False,False,False,,Overstock
2026-05-04,SKU-1004,7,1590.0,1231.9252658645596,False,False,False,False,,Healthy
